0.0 2185.4 1307.8 1734.3 2805.0 1839.7 1629.5 1159.6 1010.4 1706.4 906.8 2247.8 2293.9 57246.8
2163.0 0.0 2265.7 2681.6 4190.8 3290.6 3080.4 2610.5 2466.1 2653.7 2077.8 3633.6 164.1 58929.2
1383.4 2238.9 0.0 673.5 2987.9 2043.1 1832.9 1363.0 1367.2 645.7 701.5 2386.1 2347.4 58518.5
1732.9 2588.3 719.7 0.0 3116.6 2388.4 2182.3 1712.4 1716.7 529.3 1050.9 2737.7 2696.8 58647.3
2804.5 4213.4 2847.5 3096.0 0.0 1016.8 1307.3 1644.9 2001.1 3246.1 2562.8 666.8 4321.9 55376.1
1839.7 3343.7 1977.8 2404.3 1017.3 0.0 459.3 680.1 1036.3 2376.4 1693.1 460.1 3452.2 55755.7
1629.5 3133.5 1767.6 2194.1 1269.7 506.7 0.0 568.7 826.1 2166.2 1482.9 914.8 3242.0 56008.0
1159.6 2663.6 1297.7 1724.1 1645.4 680.1 513.1 0.0 356.2 1696.3 1013.0 1088.2 2772.1 56383.8
1010.4 2492.9 1243.3 1669.8 2001.6 1036.3 826.1 356.2 0.0 1641.9 842.2 1444.4 2601.4 56739.9
1705.0 2560.4 691.8 529.3 3264.8 2364.6 2154.4 1684.5 1688.8 0.0 1023.0 2707.6 2668.9 59021.1
906.5 2092.3 625.6 1052.1 2588.4 1688.2 1478.0 1008.0 890.3 1024.2 0.0 2031.2 2200.8 57326.8
2247.8 3656.7 2290.8 2717.2 667.3 460.1 867.4 1088.2 1444.4 2689.4 2006.1 0.0 3765.2 55405.7
2142.4 124.4 2245.1 2661.0 4170.2 3270.0 3059.8 2589.9 2445.5 2633.1 2057.2 3613.0 0.0 58908.6
57306.3 58969.3 58529.2 58602.9 55393.6 55772.7 56063.2 56400.9 56757.0 58976.8 57318.7 55422.8 59077.9 0.0
